"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Dinner #Easy-Recipe #Food #Gluten-Free #Recipe #Simply-Delicious #food https://t.co/kHL8OB3Bsb #Chicken korma curry - Simply Delicious",FALSE,0,NA,2017-12-09 06:42:59,FALSE,NA,"939384864926814209",NA,"<a href=""http://www.redsom.com/"" rel=""nofollow"">Redsom</a>","redsomcom",0,FALSE,FALSE,NA,NA
"2","RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…",FALSE,0,NA,2017-12-09 05:28:54,FALSE,NA,"939366221027336192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","JoyfulMamaof3",38,TRUE,FALSE,NA,NA
"3","Great night out with the girls! #citylife #newyork #bronxgirls #jerseysgirls #MrChow #dinner… https://t.co/c9N0rXzvxg",FALSE,0,NA,2017-12-09 05:27:22,FALSE,NA,"939365835667361792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MaureenShea",0,FALSE,FALSE,"-74.0087721","40.7201045"
"4","Love Gatti's Pizza? Get $50 Free Lyft ride credit to get there free. Use Lyft Coupon Code: DEX #dinner #food #restaurant #date",FALSE,2,NA,2017-12-09 05:14:36,FALSE,NA,"939362624617304064",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SpunkyHotDeals",0,FALSE,FALSE,NA,NA
"5","Last #bookclub #dinner of #2017. #moma #finedining #nyc #christmas #christmasinthecity #lobster… https://t.co/2doTJunvA3",FALSE,0,NA,2017-12-09 03:32:05,FALSE,NA,"939336823431503873",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","litwitwinedine",0,FALSE,FALSE,"-73.97709","40.7610699"
"6","RT @stinger_mario: #PalaceResort, #romantic #dinner on the #beach for VIP members
https://t.co/B0fwkskSxn

#travel #vacation https://t.co/A…",FALSE,0,NA,2017-12-09 03:10:29,FALSE,NA,"939331389232701441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","futafekarymu",40,TRUE,FALSE,NA,NA
"7","My two Su chefs Sophie and Prada #cat #catsofinstagram #dogsofinstagram #dinner #dinnerparty… https://t.co/dTAMtdX4Ke",FALSE,0,NA,2017-12-09 02:45:27,FALSE,NA,"939325089681637376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BrennerHillary",0,FALSE,FALSE,NA,NA
"8","#BrooklynStrong #SixPoint @sixpoint is Team #ChefTristenEpps @saltedbyepps #BrooklynChef #Chopped #FoodNetwork… https://t.co/ctWMaBACfv",FALSE,0,NA,2017-12-09 01:34:54,TRUE,NA,"939307332667891713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmyYLee1",0,FALSE,FALSE,NA,NA
"9","Out of the Kitchen: #carriebeene #dinner #philippinofood #eastvillage #les  #nycphotographer… https://t.co/cxrb2MTcCo",FALSE,0,NA,2017-12-09 01:30:27,FALSE,NA,"939306213744840705",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","williamking",0,FALSE,FALSE,NA,NA
"10","All in the Kitchen: #carriebeene #dinner #philippinofood #eastvollage #les #nycphotographer… https://t.co/gHr7AMIcbL",FALSE,0,NA,2017-12-09 01:21:57,FALSE,NA,"939304072884183040",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","williamking",0,FALSE,FALSE,NA,NA
